url|idiom|sentence
https://idioms.thefreedictionary.com/%22I+see%2c%22+said+the+blind+man|"I see," said the blind man|A: "It's quite simple, Dad. You just have to reformat the hard drive, so be sure to back up your computer to the cloud first." B: "Hmm, 'I see,' said the blind man."
https://idioms.thefreedictionary.com/%23dead|#dead|OMG that's hilarious! #dead
https://idioms.thefreedictionary.com/%23MeToo|#MeToo|People keep asking whether #MeToo has gone too far, but every week we hear another story of abuse, so clearly it hasn't gone far enough.
https://idioms.thefreedictionary.com/%23MeToo|#MeToo|Dealing with sexual harassment in the workplace? Yep #MeToo.
https://idioms.thefreedictionary.com/%23MeToo|#MeToo|A: "I really love strawberry ice cream." B: "Yum, me too!"
https://idioms.thefreedictionary.com/%23MeToo|#MeToo|A: "I like playing video games." B: "Me too, we should play together sometime."
https://idioms.thefreedictionary.com/%23MeToo|#MeToo|A: "Mom, can my friends and I go to the water park?" B: "Hey, me too!"
https://idioms.thefreedictionary.com/%23MeToo|#MeToo|People keep asking whether Me Too has gone too far, but every week we hear another story of abuse, so clearly it hasn't gone far enough.
https://idioms.thefreedictionary.com/%23MeToo|#MeToo|Dealing with sexual harassment in the workplace? Yep #MeToo.
https://idioms.thefreedictionary.com/%23nofilter|#nofilter|What a gorgeous sunset tonight. #nofilter
https://idioms.thefreedictionary.com/%23NotAllMen|#NotAllMen|Ladies, it's #NotAllMen. There are still some good guys out there.
https://idioms.thefreedictionary.com/%23NotAllMen|#NotAllMen|#NotAllMen, huh? 2017 begs to differ.
https://idioms.thefreedictionary.com/%23priorities|#priorities|Which candidate has promised to lower taxes? #priorities
https://idioms.thefreedictionary.com/%23priorities|#priorities|I was already running late, but I still stopped for coffee because #priorities.
https://idioms.thefreedictionary.com/%23tortitude|#tortitude|This girl was a cuddle monster last night and wants nothing to do with me today. #tortitude
https://idioms.thefreedictionary.com/%23YesAllWomen|#YesAllWomen|Women face an omnipresent threat of harassment. #YesAllWomen
https://idioms.thefreedictionary.com/%24100%2c+%c2%a350%2c+etc.+a+throw|$100, £50, etc. a throw|You mean to tell me that these T-shirts are 50 bucks a throw? Sheesh!
https://idioms.thefreedictionary.com/%24100%2c+%c2%a350%2c+etc.+a+throw|$100, £50, etc. a throw|A: "How much did you guys contribute to Lucy's charity?" B: "Oh, $20 a throw, so hopefully she raised quite a bit of money."
https://idioms.thefreedictionary.com/%24100%2c+%c2%a350%2c+etc.+a+throw|$100, £50, etc. a throw|The tickets for the dinner were £50 a throw.
https://idioms.thefreedictionary.com/%2464+question|$64 question|The sixty-four-dollar question now is whether he should choose his former opponent as a running mate.
https://idioms.thefreedictionary.com/%2464+question|$64 question|A: "Do you want to get Italian or Chinese tonight?" B: "Well, that's the sixty-four-dollar question, isn't it?"
https://idioms.thefreedictionary.com/((do)+you)+know+what+I+mean|((do) you) know what I mean|I would just rather spend the time relaxing at home than dealing with all the hassle of travel. Know what I mean?
https://idioms.thefreedictionary.com/((do)+you)+know+what+I+mean|((do) you) know what I mean|We'll have more luck if we focus on this project first—do you know what I mean? It will just streamline the whole process.
https://idioms.thefreedictionary.com/((do)+you)+know+what+I+mean|((do) you) know what I mean|He's just kind of a jerk, you know what I mean?
https://idioms.thefreedictionary.com/((do)+you)+know+what+I%27m+saying|((do) you) know what I'm saying|I would just rather spend the time relaxing at home than dealing with all the hassle of travel. Know what I'm saying?
https://idioms.thefreedictionary.com/((do)+you)+know+what+I%27m+saying|((do) you) know what I'm saying|We'll have more luck if we focus on this project first—do you know what I'm saying? It will just streamline the whole process.
https://idioms.thefreedictionary.com/((do)+you)+know+what+I%27m+saying|((do) you) know what I'm saying|He's just kind of a jerk, you know what I'm saying?
https://idioms.thefreedictionary.com/((do)+you)+know+what+I%27m+saying|((do) you) know what I'm saying|Sue: This is, like, really great! You know what I'm saying? Mary: Yeah, I've been there. It's great.
https://idioms.thefreedictionary.com/(a+body+part)+is+killing+(one)|(a body part) is killing (one)|Ugh, my head is killing me—do you have any Advil?
https://idioms.thefreedictionary.com/(a+body+part)+is+killing+(one)|(a body part) is killing (one)|Phil's back is killing him, so he went back to the hotel to lie down.
https://idioms.thefreedictionary.com/(a+body+part)+is+killing+(one)|(a body part) is killing (one)|Wow, my feet are killing me!
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+and+ready|(a little/bit) rough and ready|This video is a bit rough and ready, but it's pretty close to what we want the finished product to look like.
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+and+ready|(a little/bit) rough and ready|This old truck's a little rough and ready, but it's still the most reliable vehicle I've owned.
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+and+ready|(a little/bit) rough and ready|The workers on the oil rig are a little bit rough and ready, but they're good guys, every single one of them.
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+and+ready|(a little/bit) rough and ready|Yeah, the diner is a little rough and ready, but I think that's what gives it its charm.
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+and+ready|(a little/bit) rough and ready|John is not exactly rough-and-ready, but he is a moderately good athlete. Ralph is very rough-and-ready, but his table manners are very bad.
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+and+ready|(a little/bit) rough and ready|We stayed the night at the town's only hostel, a rough-and-ready bar with rooms attached.
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+and+ready|(a little/bit) rough and ready|I can only provide rough and ready sales predictions.
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+and+ready|(a little/bit) rough and ready|At first, the rough and ready sailors didn't know what to make of the young priest.
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+and+ready|(a little/bit) rough and ready|He's a bit rough and ready but he knows what he's doing.
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+and+ready|(a little/bit) rough and ready|I can give you a rough-and-ready estimate of the cost of the work now and a more detailed estimate later.
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+and+ready|(a little/bit) rough and ready|His approach was rather rough and ready, but he was very popular with his customers.
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+and+ready|(a little/bit) rough and ready| After a good night’s sleep, I feel rough and ready—I could take on a bear. 
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+and+ready|(a little/bit) rough and ready| My friend is the rough and ready type. I’d rather sit and think about things.
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+around+the+edge|(a little/bit) rough around the edge|This video is still a bit rough around the edge, but it's pretty close to what we want the finished product to look like.
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+around+the+edge|(a little/bit) rough around the edge|This old truck's a little rough around the edge, but it's still the most reliable vehicle I've owned.
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+around+the+edge|(a little/bit) rough around the edge|The workers on the oil rig are a little bit rough around the edge, but they're damn decent chaps, every single one of them.
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+around+the+edge|(a little/bit) rough around the edge|Yeah, my local bar is rough around the edge all right, but I think that's what gives it its character and charm.
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+around+the+edge|(a little/bit) rough around the edge|Bill: "So, I hear you had a wild night out. How you feeling this morning?" Ted: "A little rough around the edge, but not as bad as I thought I'd be."
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+around+the+edges|(a little/bit) rough around the edges|This video is still a bit rough around the edges, but it's pretty close to what we want the finished product to look like.
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+around+the+edges|(a little/bit) rough around the edges|This old truck's a little rough around the edges, but it's still the most reliable vehicle I've owned.
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+around+the+edges|(a little/bit) rough around the edges|The workers on the oil rig are a little bit rough around the edges, but they're damn decent chaps, every single one of them.
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+around+the+edges|(a little/bit) rough around the edges|Yeah, my local bar is rough around the edges all right, but I think that's what gives it its character and charm.
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+around+the+edges|(a little/bit) rough around the edges|Bill: "So, I hear you had a wild night out. How you feeling this morning?" Ted: "A little rough around the edges, but not as bad as I thought I'd be."
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+around+the+edges|(a little/bit) rough around the edges|It's rough around the edges, perhaps, but this frank and funny film establishes Harris as a talent to watch.
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+around+the+edges|(a little/bit) rough around the edges|The house was a bit rough around the edges but it was fine for us.
https://idioms.thefreedictionary.com/(a+little%2fbit)+rough+around+the+edges|(a little/bit) rough around the edges|He's a bit rough around the edges but he's wonderful with kids.
https://idioms.thefreedictionary.com/(a)+method+in+(one%27s)+madness|(a) method in (one's) madness|You may have method in your madness, but these radical changes to the business could still prove catastrophic.
https://idioms.thefreedictionary.com/(a)+method+in+(one%27s)+madness|(a) method in (one's) madness|I know you don't understand my motivation for this decision, but after the dust settles you'll see that there is a method in my madness.
https://idioms.thefreedictionary.com/(a)+method+in+(one%27s)+madness|(a) method in (one's) madness|He may seem scattered and disorganized, but I guarantee there's a method in his madness.
https://idioms.thefreedictionary.com/(a)+method+in+(one%27s)+madness|(a) method in (one's) madness|What I'm doing may look strange, but there is method in my madness.
https://idioms.thefreedictionary.com/(a)+method+in+(one%27s)+madness|(a) method in (one's) madness|Wait until she finishes; then you'll see that she has method in her madness.
https://idioms.thefreedictionary.com/(a)+method+to+(one%27s)+madness|(a) method to (one's) madness|You may have method to your madness, but these radical changes to the business could still prove catastrophic.
https://idioms.thefreedictionary.com/(a)+method+to+(one%27s)+madness|(a) method to (one's) madness|I know you don't understand my motivation for this decision, but after the dust settles you'll see that there is a method to my madness.
https://idioms.thefreedictionary.com/(a)+pox+on+(someone+or+something)|(a) pox on (someone or something)|A pox on these fools that would stand in my way!
https://idioms.thefreedictionary.com/(a)+pox+on+(someone+or+something)|(a) pox on (someone or something)|Ugh, I've been filling in the wrong form—pox on these confusing tax laws!
https://idioms.thefreedictionary.com/(a)+pox+on+(someone+or+something)|(a) pox on (someone or something)|A pox on you, you creep!
https://idioms.thefreedictionary.com/(a)+pox+on+(someone+or+something)|(a) pox on (someone or something)|I've been trying to make this computer work all day. A pox on it!
https://idioms.thefreedictionary.com/(a)+quarter+of+(a+given+hour+in+time)|(a) quarter of (a given hour in time)|A: "What time does the movie start?" B: "Not until a quarter of eight, so we've got plenty of time!"
https://idioms.thefreedictionary.com/(a)+quarter+of+(a+given+hour+in+time)|(a) quarter of (a given hour in time)|I thought I'd be home already, but with this traffic, it'll be quarter of before I'm back.
https://idioms.thefreedictionary.com/(a)+thin+skin|(a) thin skin|Watch what you say around Uncle Ed—he has such thin skin and gets angry at the slightest provocation.
https://idioms.thefreedictionary.com/(a)+thin+skin|(a) thin skin|You can't have a thin skin if you want to be an actress—harsh reviews are all too common.
https://idioms.thefreedictionary.com/(a)+thin+skin|(a) thin skin|He'll never make it in journalism with such a thin skin.
https://idioms.thefreedictionary.com/(a)+thin+skin|(a) thin skin|She didn't mean it as an insult — you're too thin-skinned!
https://idioms.thefreedictionary.com/(a)hold+of+(someone+or+something)|(a)hold of (someone or something)|The police officer got ahold of the suspect before he could run away.
https://idioms.thefreedictionary.com/(a)hold+of+(someone+or+something)|(a)hold of (someone or something)|My sister had ahold of me at our mother's funeral to keep herself from breaking down in tears.
https://idioms.thefreedictionary.com/(a)hold+of+(someone+or+something)|(a)hold of (someone or something)|I wasn't able to get ahold of my brother over the weekend, I hope he's OK.
https://idioms.thefreedictionary.com/(a)hold+of+(someone+or+something)|(a)hold of (someone or something)|Well, once corporations get ahold of a politician, it's easy to predict where that senator's or congressperson's interests will lie.
https://idioms.thefreedictionary.com/(a)hold+of+(someone+or+something)|(a)hold of (someone or something)|Addiction seems to have completely gotten ahold of John.
https://idioms.thefreedictionary.com/(a)hold+of+(someone+or+something)|(a)hold of (someone or something)|Her latest novel got ahold of me and didn't let go until I'd read it cover to cover.
https://idioms.thefreedictionary.com/(a)hold+of+(someone+or+something)|(a)hold of (someone or something)|I got hold of him and dragged him back from the edge just in time.
https://idioms.thefreedictionary.com/(a)hold+of+(someone+or+something)|(a)hold of (someone or something)|I took ahold of his hand and held on tight.
https://idioms.thefreedictionary.com/(a)hold+of+(someone+or+something)|(a)hold of (someone or something)|I got hold of a replacement part in Peoria. They are shipping it to us today.
https://idioms.thefreedictionary.com/(a)hold+of+(someone+or+something)|(a)hold of (someone or something)|Try to get ahold of a plumber, would you?
https://idioms.thefreedictionary.com/(a)hold+of+(someone+or+something)|(a)hold of (someone or something)|I got hold of her just as she was going out the door.
https://idioms.thefreedictionary.com/(a)hold+of+(someone+or+something)|(a)hold of (someone or something)|I was able to get ahold of the factory and cancel the order.
https://idioms.thefreedictionary.com/(a)round+the+bend|(a)round the bend|The store isn't far from here, it's just around the bend.
https://idioms.thefreedictionary.com/(a)round+the+bend|(a)round the bend|It's freezing today, and you're not going to wear a coat? Have you gone around the bend?
https://idioms.thefreedictionary.com/(a)round+the+bend|(a)round the bend|Do you remember last night at all? You were really around the bend!
https://idioms.thefreedictionary.com/(a)round+the+bend|(a)round the bend|I think this job is sending me around the bend.
https://idioms.thefreedictionary.com/(a)round+the+bend|(a)round the bend|She sounds like she's round the bend already.
https://idioms.thefreedictionary.com/(a)round+the+bend|(a)round the bend|One more of those, and you'll be around the bend.
https://idioms.thefreedictionary.com/(a)round+the+bend|(a)round the bend|From the glassy look in her eyes, I'd say she is completely round the bend now.
https://idioms.thefreedictionary.com/(a)round+the+bend|(a)round the bend|I actually used to look at mountaineers and think they were a little bit round the bend.
https://idioms.thefreedictionary.com/(a)round+the+bend|(a)round the bend|If anyone told me a few months ago that I'd meet a marvellous person like you, I'd have said they were round the bend.
https://idioms.thefreedictionary.com/(a)round+the+bend|(a)round the bend| I think I’m going around the bend. 
https://idioms.thefreedictionary.com/(a)round+the+bend|(a)round the bend| From the look in her eye, I’d say she is completely round the bend now.
https://idioms.thefreedictionary.com/(a)round+the+clock|(a)round the clock|We have been working round the clock to solve this issue with your security system, but it's going to take us another 24 hours to get it back online.
https://idioms.thefreedictionary.com/(a)round+the+clock|(a)round the clock|Doctors have been working on him around the clock, but his condition is still critical.
https://idioms.thefreedictionary.com/(a)round+the+clock|(a)round the clock|The priceless jewels were guarded around the clock.
https://idioms.thefreedictionary.com/(a)round+the+clock|(a)round the clock|Grandfather was so sick that he had to have nurses round the clock.
https://idioms.thefreedictionary.com/(a)round+the+clock|(a)round the clock|Fire crews were working round the clock to bring the huge blaze under control.
https://idioms.thefreedictionary.com/(a)round+the+clock|(a)round the clock|Detectives watched him around the clock.
https://idioms.thefreedictionary.com/(a)round+the+clock|(a)round the clock|Staff alerted police and a round-the-clock surveillance of the four men began.
https://idioms.thefreedictionary.com/(a)round+the+clock|(a)round the clock|We can't afford to give you around-the-clock protection.
https://idioms.thefreedictionary.com/(a)round+the+clock|(a)round the clock|The police watched the house round the clock but no one went in or came out.
https://idioms.thefreedictionary.com/(a)round+the+clock|(a)round the clock|Her mother needs round-the-clock care and attention.
https://idioms.thefreedictionary.com/(a)round+the+corner|(a)round the corner|The store isn't far from here, it's just around the corner.
https://idioms.thefreedictionary.com/(a)round+the+corner|(a)round the corner|My little brother believes that an alien invasion is right around the corner and that we should prepare ourselves for life on another planet.
https://idioms.thefreedictionary.com/(a)round+the+corner|(a)round the corner|Our company is devoted to the self-driving car and believes that its widespread use is right around the corner.
